node,Glasser_RH_ROI,module
1,R_V1_ROI,2
2,R_MST_ROI,4
3,R_V6_ROI,2
4,R_V2_ROI,2
5,R_V3_ROI,2
6,R_V4_ROI,2
7,R_V8_ROI,2
8,R_4_ROI,1
9,R_3b_ROI,1
10,R_FEF_ROI,1
11,R_PEF_ROI,1
12,R_55b_ROI,1
13,R_V3A_ROI,2
14,R_RSC_ROI,5
14,R_RSC_ROI,2
14,R_RSC_ROI,0
15,R_POS2_ROI,5
15,R_POS2_ROI,2
16,R_V7_ROI,2
17,R_IPS1_ROI,2
18,R_FFC_ROI,2
19,R_V3B_ROI,2
20,R_LO1_ROI,2
21,R_LO2_ROI,2
22,R_PIT_ROI,2
23,R_MT_ROI,4
24,R_A1_ROI,1
25,R_PSL_ROI,3
26,R_SFL_ROI,0
27,R_PCV_ROI,0
28,R_STV_ROI,4
29,R_7Pm_ROI,0
30,R_7m_ROI,5
31,R_POS1_ROI,5
32,R_23d_ROI,5
33,R_v23ab_ROI,5
34,R_d23ab_ROI,5
35,R_31pv_ROI,5
36,R_5m_ROI,0
37,R_5mv_ROI,0
38,R_23c_ROI,0
39,R_5L_ROI,0
40,R_24dd_ROI,0
41,R_24dv_ROI,0
42,R_7AL_ROI,1
43,R_SCEF_ROI,0
44,R_6ma_ROI,1
45,R_7Am_ROI,0
46,R_7PL_ROI,2
47,R_7PC_ROI,1
48,R_LIPv_ROI,1
49,R_VIP_ROI,2
50,R_MIP_ROI,2
51,R_1_ROI,1
52,R_2_ROI,1
53,R_3a_ROI,1
54,R_6d_ROI,1
55,R_6mp_ROI,1
56,R_6v_ROI,1
57,R_p24pr_ROI,5
58,R_33pr_ROI,5
59,R_a24pr_ROI,5
60,R_p32pr_ROI,0
61,R_a24_ROI,5
62,R_d32_ROI,5
63,R_8BM_ROI,6
63,R_8BM_ROI,0
64,R_p32_ROI,6
65,R_10r_ROI,6
66,R_47m_ROI,6
67,R_8Av_ROI,6
67,R_8Av_ROI,1
68,R_8Ad_ROI,6
69,R_9m_ROI,5
69,R_9m_ROI,6
70,R_8BL_ROI,6
71,R_9p_ROI,6
72,R_10d_ROI,6
73,R_8C_ROI,4
74,R_44_ROI,1
75,R_45_ROI,3
76,R_47l_ROI,3
77,R_a47r_ROI,6
78,R_6r_ROI,1
79,R_IFJa_ROI,4
80,R_IFJp_ROI,1
81,R_IFSp_ROI,4
82,R_IFSa_ROI,4
83,R_p9-46v_ROI,4
84,R_46_ROI,6
85,R_a9-46v_ROI,6
86,R_9-46d_ROI,6
87,R_9a_ROI,6
88,R_10v_ROI,6
89,R_a10p_ROI,6
90,R_10pp_ROI,5
91,R_11l_ROI,2
93,R_OFC_ROI,2
94,R_47s_ROI,2
95,R_LIPd_ROI,1
96,R_6a_ROI,1
97,R_i6-8_ROI,1
98,R_s6-8_ROI,6
99,R_43_ROI,1
100,R_OP4_ROI,3
101,R_OP1_ROI,3
102,R_OP2-3_ROI,3
103,R_52_ROI,2
104,R_RI_ROI,3
105,R_PFcm_ROI,3
106,R_PoI2_ROI,1
107,R_TA2_ROI,2
108,R_FOP4_ROI,3
109,R_MI_ROI,3
110,R_Pir_ROI,2
111,R_AVI_ROI,3
112,R_AAIC_ROI,2
113,R_FOP1_ROI,3
114,R_FOP3_ROI,3
115,R_FOP2_ROI,3
116,R_PFt_ROI,1
117,R_AIP_ROI,1
118,R_EC_ROI,2
119,R_PreS_ROI,5
119,R_PreS_ROI,2
120,R_H_ROI,2
121,R_ProS_ROI,5
121,R_ProS_ROI,2
122,R_PeEc_ROI,2
122,R_PeEc_ROI,5
123,R_STGa_ROI,2
124,R_PBelt_ROI,2
125,R_A5_ROI,2
126,R_PHA1_ROI,2
126,R_PHA1_ROI,5
127,R_PHA3_ROI,2
128,R_STSda_ROI,2
129,R_STSdp_ROI,4
130,R_STSvp_ROI,4
131,R_TGd_ROI,2
132,R_TE1a_ROI,4
132,R_TE1a_ROI,2
133,R_TE1p_ROI,4
134,R_TE2a_ROI,4
135,R_TF_ROI,2
136,R_TE2p_ROI,4
137,R_PHT_ROI,4
138,R_PH_ROI,2
138,R_PH_ROI,4
139,R_TPOJ1_ROI,4
140,R_TPOJ2_ROI,4
141,R_TPOJ3_ROI,4
142,R_DVT_ROI,2
143,R_PGp_ROI,2
143,R_PGp_ROI,4
144,R_IP2_ROI,1
145,R_IP1_ROI,1
146,R_IP0_ROI,2
147,R_PFop_ROI,1
148,R_PF_ROI,3
149,R_PFm_ROI,4
149,R_PFm_ROI,1
150,R_PGi_ROI,4
151,R_PGs_ROI,1
151,R_PGs_ROI,4
152,R_V6A_ROI,2
153,R_VMV1_ROI,2
154,R_VMV3_ROI,2
155,R_PHA2_ROI,2
156,R_V4t_ROI,2
157,R_FST_ROI,4
158,R_V3CD_ROI,2
159,R_LO3_ROI,2
160,R_VMV2_ROI,2
161,R_31pd_ROI,5
162,R_31a_ROI,5
163,R_VVC_ROI,2
164,R_25_ROI,5
165,R_s32_ROI,6
166,R_pOFC_ROI,2
167,R_PoI1_ROI,2
168,R_Ig_ROI,3
169,R_FOP5_ROI,3
170,R_p10p_ROI,6
171,R_p47r_ROI,4
172,R_TGv_ROI,2
173,R_MBelt_ROI,2
174,R_LBelt_ROI,3
175,R_A4_ROI,2
176,R_STSva_ROI,4
176,R_STSva_ROI,2
177,R_TE1m_ROI,4
178,R_PI_ROI,2
179,R_a32pr_ROI,5
180,R_p24_ROI,5
