node,Glasser_RH_ROI,module,overlapping
1,R_V1_ROI,2,non-overlapping
2,R_MST_ROI,4,non-overlapping
3,R_V6_ROI,2,non-overlapping
4,R_V2_ROI,2,non-overlapping
5,R_V3_ROI,2,non-overlapping
6,R_V4_ROI,2,non-overlapping
7,R_V8_ROI,2,non-overlapping
8,R_4_ROI,1,non-overlapping
9,R_3b_ROI,1,non-overlapping
10,R_FEF_ROI,1,non-overlapping
11,R_PEF_ROI,1,non-overlapping
12,R_55b_ROI,1,non-overlapping
13,R_V3A_ROI,2,non-overlapping
14,R_RSC_ROI,0_2_5,overlapping
15,R_POS2_ROI,2_5,overlapping
16,R_V7_ROI,2,non-overlapping
17,R_IPS1_ROI,2,non-overlapping
18,R_FFC_ROI,2,non-overlapping
19,R_V3B_ROI,2,non-overlapping
20,R_LO1_ROI,2,non-overlapping
21,R_LO2_ROI,2,non-overlapping
22,R_PIT_ROI,2,non-overlapping
23,R_MT_ROI,4,non-overlapping
24,R_A1_ROI,1,non-overlapping
25,R_PSL_ROI,3,non-overlapping
26,R_SFL_ROI,0,non-overlapping
27,R_PCV_ROI,0,non-overlapping
28,R_STV_ROI,4,non-overlapping
29,R_7Pm_ROI,0,non-overlapping
30,R_7m_ROI,5,non-overlapping
31,R_POS1_ROI,5,non-overlapping
32,R_23d_ROI,5,non-overlapping
33,R_v23ab_ROI,5,non-overlapping
34,R_d23ab_ROI,5,non-overlapping
35,R_31pv_ROI,5,non-overlapping
36,R_5m_ROI,0,non-overlapping
37,R_5mv_ROI,0,non-overlapping
38,R_23c_ROI,0,non-overlapping
39,R_5L_ROI,0,non-overlapping
40,R_24dd_ROI,0,non-overlapping
41,R_24dv_ROI,0,non-overlapping
42,R_7AL_ROI,1,non-overlapping
43,R_SCEF_ROI,0,non-overlapping
44,R_6ma_ROI,1,non-overlapping
45,R_7Am_ROI,0,non-overlapping
46,R_7PL_ROI,2,non-overlapping
47,R_7PC_ROI,1,non-overlapping
48,R_LIPv_ROI,1,non-overlapping
49,R_VIP_ROI,2,non-overlapping
50,R_MIP_ROI,2,non-overlapping
51,R_1_ROI,1,non-overlapping
52,R_2_ROI,1,non-overlapping
53,R_3a_ROI,1,non-overlapping
54,R_6d_ROI,1,non-overlapping
